registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/userconfig-service,v4.1.0-20230621.0047-ae376a37d,sha256:ae376a37df48715f0c4d49b8d4faf2ef4a679b1bb71f4aa6a4ab62a9076ea3f0,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/elastic-archiving-service,v4.1.0-20230621.0047-4e9db36ae,sha256:4e9db36ae0bcf7ac02552e18505cf6a34422eae4a813ca819f17b085ea48329c,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/archiving-service,v4.1.0-20230621.0047-fec96fd88,sha256:fec96fd882f96940f6f8597e4387558ffece6effeb1b31593ee74671ac8786c5,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb-manager,v4.1.0-20230621.0047-cf3bb0e61,sha256:cf3bb0e619298bdd97ec6bfd23c59aef505fa8d9e237851d638fc87d555e2113,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb3,v4.1.0-20230621.0047-cce0b06d5,sha256:cce0b06d57478bbf62d96e02fe74ba49137a576ab56bfa2217e5143bf2c5f6b3,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/datalayer-cem-service,v4.1.0-20230621.0047-b2cc88c26,sha256:b2cc88c267ddf2e1bc88b03566de270fd0dbc8d35ce69d107d8738e5d234de11,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/common-datarouting,v4.1.0-20230621.0047-0d51ad933,sha256:0d51ad93349bcd6b5369328ab0c6fcafdc7fd835447268c79d08d7565cca1232,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-cem-users,v4.1.0-20230621.0047-2790d54d0,sha256:2790d54d08324c0380c190754604184cb3bf1375dba3ef3f1812f3a943cbb39c,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-as,v4.1.0-20230621.0047-67d4716cf,sha256:67d4716cf6e90b4a881042444ee24bec9993ddd9bbfb97334c9e2df7f079a97a,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-rbs,v4.1.0-20230621.0047-38ad7e7e7,sha256:38ad7e7e7681679ae7048871eafbbf6f9b1988cf798fd3b9ec26f86f0e7dab6e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/http-wait-initcontainer,v4.1.0-20230621.0047-c3a325738,sha256:c3a325738517299550b2ab43d88e5db136b86c4e66a08d9138cb67d69c618b81,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ir-api,v4.1.0-20230621.0047-76b2dda74,sha256:76b2dda7474fc1513fe404aa32296dda850c1c9944273725fe82e5ff70cc9e65,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-g-objserv-bi-ee,v4.1.0-20230621.0047-16aaeea9c,sha256:16aaeea9cedeb6613c9789d265710df0af98bbcf9cc334752127bd333c494b10,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-objserv-ee,v4.1.0-20230621.0047-b753366a9,sha256:b753366a912547eeee775ac505841eaad44c20912e676a33ab9b542fcdedade0,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/schedule-service,v4.1.0-20230621.0047-39c8ee9f8,sha256:39c8ee9f86519963c74dd351c7f4be3dac53168c6cf0df88eb08749f89c86f08,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-aiops-ir-core-operator-bundle,v4.1.0-20230621.0047-7479f1eed,sha256:7479f1eed17143c6378350bfe2570c34ed3a08b3057b9098bcef55e2b7b78e6c,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-aiops-ir-core-operator-catalog,v4.1.0-20230621.0047-6a020bd04,sha256:6a020bd041bbd0f60ddefe5172b4720ac55fc95c67bc903cb7507616fc989488,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-aiops-ir-core-operator,v4.1.0-20230621.0047-8fdd86048,sha256:8fdd860484cb96467943d764f7c72265464b4a512f82992b84581fbadf56c1cd,IMAGE,linux,amd64,"",0,CASE,"",""
