registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-aiopsedge-operator-bundle,v4.1.0-20230621.0047-b102031a2,sha256:b102031a22fed7c499d689060c6253957d32c21b2a2584431e5887d4845cfa1a,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-aiopsedge-operator-catalog,v4.1.0-20230621.0047-e837d64eb,sha256:e837d64eb64c17f746137425782879cfaa1e41ac3afde3c512a0d0dec508ce1a,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-aiopsedge-operator,v4.1.0-20230621.0047-6db55e8d1,sha256:6db55e8d16291114d58a76b993f724a64a255ec20514834441740328153c4dad,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-logs-connector,v4.1.0-20230621.0047-38fa3f1cc,sha256:38fa3f1cc39a21136154be5a343e316964122fe42c19b3a4a934dfe4f9d4f4ed,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connector-manager,v4.1.0-20230621.0047-de1d25bcc,sha256:de1d25bcc4ec445bb171c984ebad9b43628f2234f68c66450b9f0784763151b8,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/cp4waiops-connectors,v4.1.0-20230621.0047-660385354,sha256:6603853542ce14f65ad20792967dd14093d539e827271387ed4fae6352035961,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/cp4waiops-metricsprocessor,v4.1.0-20230621.0047-46a5e6dad,sha256:46a5e6dadd0e383e6190f1edccc8d38dcd170886e1ddde0a735fdea83aae9257,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/generic-topology-processor,v4.1.0-20230621.0047-2ab26d3cb,sha256:2ab26d3cb946a1b76b466e2213445ecc79edac09456bd5ed8e915925ade97194,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-bridge,v4.1.0-20230621.0047-6a2f52121,sha256:6a2f5212181b6ddc0edf1c0aed8daf3afc4ba6a9e47ff78ea49c15aedd0806b9,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-connector-orchestrator,v4.1.0-20230621.0047-b79076f33,sha256:b79076f339dadd7d80afb380ad7ad890e5f9e39d243a78cd71de12fbeeb7e332,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-appd-connector,v4.1.0-20230621.0047-cd33015a4,sha256:cd33015a4a5a9483c30fbc15e4e3ab4eec4dac787682818487c7521f272dcd82,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-awscw-connector,v4.1.0-20230621.0047-dd2e5ff42,sha256:dd2e5ff42f77fcfcd379215ad1d2239eea272b3e3ef64f1aaf50687e3a5bfb66,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-dyna-connector,v4.1.0-20230621.0047-27630c5ca,sha256:27630c5ca44a6491d72e09151d9fb562672f18d990b1fb78fe7811530625c75b,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-impact-connector,v4.1.0-20230621.0047-d72d6601f,sha256:d72d6601f9f23690f17b9ee2a0ff4942fed79d4a05781c4ac72f91bbc6800eb5,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-instana-connector,v4.1.0-20230621.0047-9b2cacd09,sha256:9b2cacd093436dc23a84b84e8772f914babe8f583347ead30e8d1d07713d9eb1,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-nrelic-connector,v4.1.0-20230621.0047-2f868c8ae,sha256:2f868c8ae280c184581e90e8b31cf76aef5f07be8466b0a13174768895523ded,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-snow-connector,v4.1.0-20230621.0047-cff85a72f,sha256:cff85a72f0bea70f68dbb51729409e64eda4885c1a12bbf2546dbcc59dfc4765,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-splunk-connector,v4.1.0-20230621.0047-1ee3b55a3,sha256:1ee3b55a3854c5c0261fd870288869c3df0b74c9e24e256b6d9cb706afb70808,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-webhook-connector,v4.1.0-20230621.0047-15f372a16,sha256:15f372a16eceecd1342aad18ae15b7b714fcbafcdccddc212041c87251e3f7d9,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-grpc-zabbix-connector,v4.1.0-20230621.0047-39b5c337e,sha256:39b5c337e6a50f8a6adae70cde6b47d2d9b83cd3fdfcec0eafa0b57790465ce2,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/instana-topology,v4.1.0-20230621.0047-2d24f7db6,sha256:2d24f7db6e3026336c4afee38264a4531b865f26f8b0e53026611c0ce76945b3,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-connector,v4.1.0-20230621.0047-0bd6cc7b9,sha256:0bd6cc7b9dd3e7ed5ddb9b71f73ce15e513901a0f1e2c37ffefc9b6dddf88e58,IMAGE,linux,amd64,"",0,CASE,"",""
