registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/cassandra,v4.1.0-20230621.0047-deaa5965b,sha256:deaa5965b43d1b6681ab3623d162b6da20fce54dc1a6a70eb107275c16bdf22f,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-aaionap-service,v4.1.0-20230621.0047-8c4037eb2,sha256:8c4037eb2b5681d7f60425d3a2c1fb7282a127419787d68e76d5c8cfadab23a5,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-alm-observer,v4.1.0-20230621.0047-bfe5804ba,sha256:bfe5804ba46d7f09c5b5a41da9c2c04d0d9a7581efb9e6fd774044f002d7ed77,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ansibleawx-observer,v4.1.0-20230621.0047-fcb758770,sha256:fcb75877006e1d966fc5a442945e6ea90ecaa95be3bb6a9727e69795dc438448,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-appdynamics-observer,v4.1.0-20230621.0047-98ef5378f,sha256:98ef5378f278ecc338c30e08d085ce27130b44f43662dec02e3370073c61ec75,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-aws-observer,v4.1.0-20230621.0047-215e36949,sha256:215e3694968fe0df32d02a110b5e5e55b46698e38b1b12f58a9efe4c6ec4c614,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-azure-observer,v4.1.0-20230621.0047-62e0627be,sha256:62e0627be8621139ce922559c589281cabd99638d370bb91ed909b72b477a068,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-bigcloudfabric-observer,v4.1.0-20230621.0047-eab7b1930,sha256:eab7b1930d6f08a6574593474080c28ec6da5ad38cfa007b7b37eb4a0806bb37,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-bigfixinventory-observer,v4.1.0-20230621.0047-fb1124700,sha256:fb112470005c6ae831c6f7c637b2325ae3ff08a8ea844a7325917f9efb569c11,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-cienablueplanet-observer,v4.1.0-20230621.0047-1b0dd7fed,sha256:1b0dd7fed45ebd037f98bfc982b7eda8ceb78475b40efb0f0f48a137f17453d7,LIST,"","","",0,CASE,"",""
