registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator,1.18.5,sha256:34c95502f003e1d368bac4456e47f2ead4aafcd838fe698d0d87771827617c30,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator-bundle,1135,sha256:ee403dd79a36b541ae163f93e7955c31617fa923d17fe4cfd1c27948483042fc,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cpd-cloud-native-postgresql-operator-catalog,1135,sha256:a06b9c054e58e089652f0e4400178c4a1b685255de9789b80fe5d5f526f9e732,LIST,"","","",0,CASE,olm-catalog,""
cp.icr.io,cp/cpd/edb-postgres-license-provider,573,sha256:fd8339c382e1c5d69184d9c3f299a3da5c9a12a579e0db5e76e86d65be9190fd,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/edb-postgres-license-provider,694,sha256:04c1d9475cf1050a885013dd7d8678a94ceff096814d27b255d47233710e5843,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/edb-postgres-license-provider,1017,sha256:37681f81e55dd57953ecd9eee7fed194cb1fc3a42f636b7c28b29bfa92c0c1b1,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/edb-postgres-license-provider,1018,sha256:e683c4bfceb5a99f7971409d4028cf326cdedb007f9cf3daf28b8141835535f1,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/edb-postgres-license-provider,255,sha256:607231e7337608278220853bd0bb04002488a6e74d4418752b1720133daef036,LIST,"","","",0,CASE,"",""
icr.io,cpopen/edb/postgresql,12.14-4.13.0,sha256:254edbedad1f667bdae0eaf1b5514a9023dfb8a2313d6cc54c0ca52b52c6ffe8,LIST,"","","",0,CASE,"",""
icr.io,cpopen/edb/postgresql,14.7-4.13.0,sha256:91fb22eb3e6bfcb2b89eb7795a2906a902e4c824a0670945167fa8558f49b2cf,LIST,"","","",0,CASE,"",""
icr.io,cpopen/edb/postgresql,13.10-4.13.0,sha256:86fe95d5d9ddc7967f3931f679b4031eac2f02fa5e27b2dc0e810350c8414688,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/postgresql,12.14-4.13.0,sha256:254edbedad1f667bdae0eaf1b5514a9023dfb8a2313d6cc54c0ca52b52c6ffe8,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/postgresql,14.7-4.13.0,sha256:91fb22eb3e6bfcb2b89eb7795a2906a902e4c824a0670945167fa8558f49b2cf,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/postgresql,13.10-4.13.0,sha256:86fe95d5d9ddc7967f3931f679b4031eac2f02fa5e27b2dc0e810350c8414688,LIST,"","","",0,CASE,"",""
icr.io,cpopen/edb/postgresql,12.14-4.14.0,sha256:0705b4051385a4082633514f8b21e739e3168a56f1e5b8d03c550ae17a017ca6,LIST,"","","",0,CASE,"",""
icr.io,cpopen/edb/postgresql,14.7-4.14.0,sha256:d2e21251c5b0e3a4a45bdef592f9293e258124793b529e622808dc010900b7ea,LIST,"","","",0,CASE,"",""
icr.io,cpopen/edb/postgresql,13.10-4.14.0,sha256:0064d1e77e2f7964d562c5538f0cb3a63058d55e6ff998eb361c03e0ef7a96dd,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/postgresql,12.14-4.14.0,sha256:0705b4051385a4082633514f8b21e739e3168a56f1e5b8d03c550ae17a017ca6,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/postgresql,14.7-4.14.0,sha256:d2e21251c5b0e3a4a45bdef592f9293e258124793b529e622808dc010900b7ea,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/postgresql,13.10-4.14.0,sha256:0064d1e77e2f7964d562c5538f0cb3a63058d55e6ff998eb361c03e0ef7a96dd,LIST,"","","",0,CASE,"",""
