registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/common-service-operator,3.23.5,sha256:1eb895e993a57ffd969c21a7203e86dd7e1fa48b49a13349c0a71c821338d84e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-secretshare-operator,1.20.5,sha256:657b1b41a1e48a1bfe08b57bb792b9c9ad0c9c4b84e3399fb1e7fc62a7ae4d0e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-cs-webhook,1.19.5,sha256:4b0e9d1d805c6f6b05acb53486b2a5293287b171d5500e3a71820041fd21a3cc,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-namespace-scope-operator,1.17.5,sha256:4ae19b083d447022e722cbba9105afdf34bd4e6b62763558e84a02647ac87ef2,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-common-service-catalog,v3.23.5-20230707.000000-000000000,sha256:4ab515a6a84d232d7f6589751ec0fe777263b37ecc66833de1a2e26fec400fa3,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-iam-operator-bundle,3.23.5,sha256:56885c17c69bd55092c5db9f66221359e199857c23b661f778277034f87e325b,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.23.2,sha256:336477870dd96ecaf1e532e1d65bd759e0bd2029f0be6f2e9ac74e0bf6e2e3b0,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-commonui-operator-bundle,1.21.5,sha256:cd03d93c6efe6ef4d37b8e7adea8763c6b94f6a0091f499af007eba81282b47a,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-licensing-operator-bundle,1.20.5,sha256:75262831df7ce86b8e7b062a6da546a653c1191f733317523358a50dcea6a8c3,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-mongodb-operator-bundle,1.18.5,sha256:c0b939fa5ea80dbc95a2ecb0e5e9345830cb0e9e96c14b964b129c8a0a506912,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-monitoring-grafana-operator-bundle,1.27.5,sha256:8b5b75194c9fff871db414e3512eaaa894349077cb0299157c60c771c96000be,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/operand-deployment-lifecycle-manager-bundle,1.21.5,sha256:d5681b4064bdc556d87ff37ef3455a956dae53971ac0b2ca1e6467517d841599,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-platform-api-operator-bundle,3.25.5,sha256:b622b6b3da1f7b3aaaa2b4635a0001f88be61d5e8320d6e1369ab9378a803ddb,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-ingress-nginx-operator-bundle,1.20.5,sha256:fcfddcf04924462476d6dffcb0f1df8f121342eb69032ffe78dd92f62e9308f7,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-management-ingress-operator-bundle,1.20.5,sha256:703e448f293ad5f0cd1a66dee9a02c0d661d70dd6436ad9f76a1571a8f00788d,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cert-manager-operator-bundle,3.25.5,sha256:6b1a89a72457f6b58a8e3614a0f223a056f5f63e72a0c96cb2f88365a7acbf78,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-auditlogging-operator-bundle,3.25.5,sha256:77b55036510fb7b624a5fd8fecdedfe89baf8fa6eeaf8d8b6c6f43b1f248b367,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-healthcheck-operator-bundle,3.24.5,sha256:1885427322e239ea144bdbbe830dfc7b048e2500aa7d2f61606800efa3d459b7,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-namespace-scope-operator-bundle,1.17.5,sha256:1f2f0fb1e007b4e72ab604d50f23ff27b8910bad06abc20d09ee56238afc6af0,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-namespace-scope-operator-restricted-bundle,1.17.5,sha256:88dd0f9e44f2122a2e6590caa92b8f5af624d9cdadca8416a6e756d71283abca,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-events-operator-bundle,4.7.0,sha256:01a705c6c82a8b87bafcf987e444e94f0140c2207aea52c0995fe3967034544e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-zen-operator-bundle,1.8.6,sha256:9cb273ce4d9cc36c817958d581f27ea27f8f05a23fb2a3441f24cec3aa777389,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-crossplane-operator-bundle,1.12.5,sha256:b7d5eed83d8fc63438991584362b8a8877a8575e684e23b017899cc865aaf433,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-zen-cpp-operator-bundle,1.8.6,sha256:a9ebc51e4fef1d8c2e6bc88683ba109ea005f83ed1fe7b5d1e657b2d8e9ce2e2,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator-bundle,1.12.5,sha256:80ecfa067cdbf772b0ea7e1cd7b72dcfb2d37492c0a5b0da503b1ee55c4ee70e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator-bundle,1.12.5,sha256:bd78ec2ec68e0378271673e2553906b237205c0079f95d34184805aaf625055f,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-zen-operator,1.8.6,sha256:ebe71db442b57300e6d8d49114c0415f0a93368a2c34e5096458e8268bae0484,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/multi-instance-conversion,1.0.8,sha256:56ac559d06e8f58b757ef15f7ee5320cc2fec1e66f7fc1ec1abf6458a1b329b3,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-common-service-operator-bundle,3.20.1,sha256:454cc80fd5fd33fdb95e31bd536e97903af5ee930a0cd0dfc95bdd3ffce7bc33,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.21.0,sha256:fabfa6a257dabb2918be1aa2e9d00be2fff76970e89af66ec4bc025ab1762292,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.22.0,sha256:be212c133309ed9ee484a8bf3818e8bcc46f7b77fc520c77f5cc2f6d4a374cc4,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.19.10,sha256:232257b1cbe340f7b3309416435db0ad47c8b289265be34a6fa1f25a80878206,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.23.3,sha256:53717c802b56b6491509ec6f775c5ff6a58450ffa3a5cad76e237c0353e371fb,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.19.11,sha256:59b9ed1bf7419848dd6c00428be96e9d6cf2633b2ff7c6c826154f2246ea0e69,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.23.4,sha256:322e5fd032df55234dc5c1ce72abbcdf3e0caab96400c5475d7cf773699bfbc7,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.19.12,sha256:89a95798d835a8a191a1a162775eb311d0038d6e6bb7acae8cee6c5f762a7ab5,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.23.5,sha256:c84ba5056a7b2cc5e8134db588db6c092bf5591d58557cac92f9e6e1f2e8a005,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.19.13,sha256:595ae0e40bf09ff91f1a1610047eb86fe98daec1a3dd714802d968b4abfb3ba2,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,4.0.0,sha256:7f3a42ebf34de9756759ce1f3f224703db43097ae90142ff54516d915288162b,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/odlm,1.21.5,sha256:42500616b6c5e55d7c81c8775439d55c6a7f3866c4f857e68f9d5afee4876117,LIST,"","","",0,CASE,"",""
