registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cs-elastic-operator-catalog,1.3.13,sha256:655128dbed1bdc2eb80921956638d97b9f8c28d87b59f7692254d56f55b08166,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.0,sha256:2c3bcc4a6d3723b48bcd00ccbe1440a94f39668a4d9cf3426073571a9de5cc2a,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.1,sha256:aab6225a92ebc4ea940348435537dc6419485c2d43df98b330a1bce9f90023e0,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.0,sha256:2ce722e0870b2d01b7554df9e84d0944936fb5c371304bee21bed3ef3356e3f0,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.1,sha256:d02c77e068743c50d5a41063101fa1ef5a67e74a05a1e2c6bb930da636853c29,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.2,sha256:f68639d726f3294e3a97da2bbe830aebea44097051d3b36ec38c1d40679437ab,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.3,sha256:031a4afb7874fd8626c16348b8a2bbe8fd5c496a1359c37de9e48793f03f333c,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.4,sha256:e755b28ca52e32f8b3e7ac44817a9991c1fee639516a38f2bba8fad25494d208,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.5,sha256:201e4932eabdf8baf40bfe391aff90391129b1fb1cf8d1dc2d489224fbcdd060,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.6,sha256:1a6c12d48041e19fba74bd2be54cff3c0f9415d382c691eb60176313de2f116d,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.7,sha256:20555aa79f698e987b3179602089a829092ab6472657bac75c610778371bf87b,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.8,sha256:e4f746e61fa78a74673b5b90084a40e4f2612039fe03a9cc821b1c6cde011328,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.9,sha256:eff8b49487791dc182030487dbe941fba91c9fcb15b62d03604448a43585a69c,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.10,sha256:87db720b4a264b419bf2c7cd53cb517e4b8059e25551259db3d7f82ae4058220,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.11,sha256:d968db8de7494bc42d287e1270f5c3a9334cafb9c9133b41bf91869c61515fdf,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.12,sha256:68cf84d065a8da2fa9049f682109a02dbc7065c64a37402edfc0e074002a75b9,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator,1.2.0-amd64,sha256:ecb36ad11e99330d78ed3144ddc88df0fd260e3f76c464c660af91be5e57b55e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.0-s390x,sha256:724cbcac3f37f67897317e09d1126cdc6967ae42464c46b54815314b0842c7ff,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.0-ppc64le,sha256:ec30c800062cbd1dbb1afa081529701c4cb4f1118dd7434b6e6a606759f137e6,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.1-amd64,sha256:d1f42c898f0dd6f25b6a3003ab3bad5dd91471726801dc47915c95778da89c66,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.1-s390x,sha256:5ef4a21ef0f8410e07d64c43819247b16f70a33da902798b76c75605b5378614,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.1-ppc64le,sha256:54c67cd1b96cdba3b7703fe7ebb1a66a03494461028fb3111178491bfc490551,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.0-amd64,sha256:b3a7c3315f6cc78c11f5bdd43bc171a71e2dd68146de36d1505798f62b9812b7,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.0-s390x,sha256:7e23d46de1c3c6ed63f02092061bb45e32beb31281de35a1c1ff039baf73921f,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.0-ppc64le,sha256:595c82ec91c0acce78054594f732767ef2f37ec3b6a5d1a7cd9d3202bbe3fbec,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.1-amd64,sha256:5f782ff0d5a15aa851065da7b37157427e8bf15a3288e3599715c462b53f4057,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.1-s390x,sha256:b8c0acf4d9c618e822c9f24298b5b7d770a281d3fde088dcdeb23a7b87893fe9,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.1-ppc64le,sha256:d74a3b49cc2ad0a2ed3bf9f859e488f3cc16972a1ef4d79e97b5b9c6948c3a88,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.2-amd64,sha256:4550437d572687c7a34276ddabc4002c432e41146b095f39a1c1106614c26a9c,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.2-s390x,sha256:5980dca923ef8163137e0040b1843c8c6c9fffb794e65d98202f6a4c5f88e463,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.2-ppc64le,sha256:1f45eeedcc984e0978d26fa0619e65c5ac183f9a8dd74bb87b5eeb3c8fea953e,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.3-amd64,sha256:2f95b5b3fe40985d5b6670abfefab2bd95385ce27d6691da689c18c8c48d33ed,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.3-s390x,sha256:6dca1f3e656717fc67258f248b8e4756eef1577b71b07d66690ee5a2afb301f0,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.3-ppc64le,sha256:636058c0f44700939c208193d4f2c8f1a85c7717d31ebcd7e65e41a6407cc672,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.4-amd64,sha256:8954fe3ad6e4e0627b5961e717a092fcbbe66eb0a16c21e8e3db05416fce96e6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.4-s390x,sha256:522ecb837859f2a4a7edb3336ca3d70778830a2327f6d8f86e48c6f10043c75e,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.4-ppc64le,sha256:b3ff869043cde7dbf00fc33169c1370ee5401840e653b4930b1010e045fb2efb,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.5-amd64,sha256:c4716cc4ee62f2cec6fc4b29e3fae13374e0f65bf3040958fb5b62461402c5d6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.5-s390x,sha256:a9ac14460be5ceab8a42e6e5c441e4d43bf825ddb79ad250c96e3d9d571cbe9d,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.5-ppc64le,sha256:8f186fa4f3514fc55fe4a244bbb9b6491dbb042594fc583bafc24fd26dffa6cd,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.6-amd64,sha256:91ead3b443c3bd9a23ad3f8536062d4e096a2bebc854813e89189534727ebe9e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.6-s390x,sha256:22cf92f2209d24ce78047e9feedacdac365b535f2545f500ee8fbf18e284914b,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.6-ppc64le,sha256:633a10e5ff54c2709ff5734b333bb935190e9b7c8554e1bd15a265124282c3c3,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.7-amd64,sha256:19672a24e3f2ae6490a7f30f265274df78c81a22dd66357c6ae9bcc22e61b01a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.7-s390x,sha256:f69f5d6067305bad172090c9af2da7b6123bf8d226dcb18bf09ccecd7fa272f3,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.7-ppc64le,sha256:f6294aeac5b1f677dfe390a5d67340a0d69867b61cb07ef6214b865d4e041fdc,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.8-amd64,sha256:0c54802e4e86b65f4b8b3102a31e226d6de4fd62d83d04e2a6b92b19a1e938b6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.8-s390x,sha256:88c7078c78e2cf86bc9a0dc740a18da73bace8d1a191da54667cdf31be3cdb1c,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.8-ppc64le,sha256:a44fd9fea2a5d3b45403e3a39257f9baa557b8c71ceac684b23ff2c7eadbba4e,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.9-amd64,sha256:1b30cd0470280fbd757ecf411fd34cfe756e99df7c5a50d5cbc07ff2d1a29c76,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.9-s390x,sha256:6c56fdc3ce0d0465350d68b410490ebfdafc03f3256e0d3b8ea08f8c6b453e27,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.9-ppc64le,sha256:13647b7307196892a5372af0c4424a0b18f4e27184b84f3953b31d3cf52ef779,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.10-amd64,sha256:70cb399a11547c0850407b10b06b60663e6e6dfb8c35d07c99768525deaca7b3,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.10-s390x,sha256:e4d7e22e74d75c8cbd7d1024574f45930ffe9e26aa2cd1b68eef9108d5449a7c,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.10-ppc64le,sha256:5e704880cb625781336f003eea805d7e1d6a31bfaf297e35a6af5ece4dbc9197,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.11-amd64,sha256:7f02ca5cb40c1f745a9922f970d7c6db1295f1f5120b09309d319a9e4a9966d7,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.11-ppc64le,sha256:e32093ff162e71ef9931cf4f1f865f9d46d0dfeb870725da90bd44c262cc7e82,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.3.11-s390x,sha256:397be4f293a799e09f281e65f1c3dd513c9b679d5548c4548fa4033b7b9bf575,IMAGE,linux,s390x,"",0,CASE,"",""
