registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cs-flink-operator-catalog,1.3.13,sha256:076685012d2b2b4f42af2d9a678aa8a09065b126c3f36bd45be006db5a5775eb,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.0,sha256:718c34ba4c06fc446f41f84e80e9779ec2af6a00d9bdc7dbbf6041f881c5bba7,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.1,sha256:20fcb053f1b8127fd755a95877c85504855a9e31ab6c556efcf27f5efe37235a,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.2,sha256:a6d267b720239861cd30e48d7aea1738086f215db1ef082616c3b64f25c2b512,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.3,sha256:3b93a498e66616fa250b1908de777155456f4ffd4def137070bac60f5365fae5,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.4,sha256:167e9eb64f40cd2ab310185312c1930b6de64efba07cfd8b933c0f6a46e11eea,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.5,sha256:259e6dba1ed1c5900ce4d9578f883624ff95d4d437057b3f8d037bed7c5d175e,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.6,sha256:15b359593953c6f7b544cb92e4d7a7f941cda15dc271428b08ff4219417b8f28,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.7,sha256:ce3bea48e93b7a4a9d1498d5b44b99c4be1078b62104050d8edcb80d5071e1b6,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.8,sha256:7e33def10dd50a75ce82942e9aa16d0e0efd2af5b02f7b601e1138c07b820388,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.9,sha256:f3abaa47ec39593ad04f6df93cc0eefd916d5a7b18c1a9244447173985f63588,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator-bundle,1.3.10,sha256:27fe2f71f08c994b4a8b3ecf7d0602e5a220f60e7a582465f459ec81576d5a40,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-flink-operator,1.3.0-amd64,sha256:7f02679a1c627b69e880e06d4cc10a9b3d4dd7a1406106b60ecb39d654dbac39,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.0-s390x,sha256:d695ceff0b4e9f834565a8f34fdb4d6f2dddd643a5d2f69e49835bd78ec9256b,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.0-ppc64le,sha256:8c27e30795ef64e42aced6c9b3c9327d3a088400b56a96db30ed3efa471b9f03,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.1-amd64,sha256:d5ffa3b0883b75d1b2c660d07d7b65248122aa55dbc341c558afde67a7400a08,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.1-s390x,sha256:2d5c304d775a75a9d5f4bd52a88db63cbf5f6547f1f274f30a9ee814d84cd1c9,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.1-ppc64le,sha256:cdc79709e015231e4613cc901cb81c49a4acecd0ecc903ad9502c886aa8c0424,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.2-amd64,sha256:fdbc09670a23d0ab1ede03cad2e2122dcb628da4e32e1200c671e3864f449acd,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.2-s390x,sha256:b5a5ba538db22f0f42a49aa961d2df88ceedb14f565fd683373e5e9684553dcd,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.2-ppc64le,sha256:89ae4298498b141cea1006494b7bbe7f2baee01ac94ac8aaefa99dacdbc4a905,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.3-amd64,sha256:3a568136e025a7a79ad7e60c827aa72609e0c1ee7c3ad83a54cb63fa5acdd538,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.3-s390x,sha256:540ffbe7cc5dbd5ca5607da6df739e009e0c66282280b09bd00b2bde6e3899e9,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.3-ppc64le,sha256:6bf498a05cac38adbc766d421da0b18ab83c988b9e601e409113ee8ce1b298aa,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-flink-operator,1.3.4-amd64,sha256:a4bc6d19b4f9aa69daffba3748fca83e7ec8b3ab895f06dd695d6421550070f6,IMAGE,linux,amd64,"",0,CASE,"",""
