registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/ai-platform-api-server,v4.1.0-20230621.0047-e788687c3,sha256:e788687c30ed355dad6bfa7fe8d2dad2e377ca7526808989400f10ad56966ed5,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/change-risk,v4.1.0-20230621.0047-aa0667397,sha256:aa0667397c60c0627bc77db6e2a2bb658d4677ed5d6a236167f20e55b4f3fb1f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-orchestrator,v4.1.0-20230621.0047-47c0dde56,sha256:47c0dde56caad9b95140f60fbb44d9e93233453066046b46c20143c26f8d5576,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-slack-integrator,v4.1.0-20230621.0047-a88a1f0dc,sha256:a88a1f0dc2eda2dd4d953c423dc85960ff3e4dc8b58d8de5355761cb050832cc,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-teams-integrator,v4.1.0-20230621.0047-fb1a3334c,sha256:fb1a3334c414af1a2398aff291a44de1d3f86167a4a9f66b85ae4c7f12e570c1,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connection-manager,v4.1.0-20230621.0047-65c4d5bee,sha256:65c4d5bee126f31f5d51b760b49adc9bb865049a2c3f84a53dd71b1209c990d7,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/data-quality-checker,v4.1.0-20230621.0047-97cb87de5,sha256:97cb87de54a112a18ed7baea9f74a3f25f22c873ffe08fc32b308879ea95fb9a,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/elasticsearch-curator,v4.1.0-20230621.0047-d18bb9587,sha256:d18bb9587505100e606705e8baf2571c01f7a58b7c4650063ce1b7487b23f7b7,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ibm-aiops-cr-api,v4.1.0-20230621.0047-3ca92210c,sha256:3ca92210c868cf8e2e66ed9218e3e607be6750bce841957dd1f5c3ad6ea95b0a,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/log-anomaly,v4.1.0-20230621.0047-bf06d3624,sha256:bf06d36248848d54ec38176cfa9d2b4ee6ae500ddcef1920274c3b91e026bbb4,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/log-anomaly-feedback-learning,v4.1.0-20230621.0047-9d99d3ac1,sha256:9d99d3ac129b55784062414cb3d1fb236808fb9c35eb0e5901c706754a65d852,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/log-anomaly-golden-signals,v4.1.0-20230621.0047-c3318ffec,sha256:c3318ffec16355c7007b65c7ce88f38ec5d6756c5fdd00445a46b070208f0e03,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/log-anomaly-training,v4.1.0-20230621.0047-7be2b51a4,sha256:7be2b51a4d897cddf2c23be2b9943d9c101716b3e95674dc92d4d8222713bb02,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/luigi-scheduler-daemon,v4.1.0-20230621.0047-abc17adfe,sha256:abc17adfea5e57477708abed03d9c1ac6c2c1beeff7062db72341dbc25627c6c,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/oob-recommended-actions,v4.1.0-20230621.0047-81beacde2,sha256:81beacde284ef98b930370735c0b84903ce82c0a31811f92cb92d70eb9dd7e40,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/opencontent-minio,v4.1.0-20230621.0047-62421ca8a,sha256:62421ca8a73a6025a972ac7b3bf3af827adf78f09aabd920418ba2c43a58936f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/opencontent-minio-client,v4.1.0-20230621.0047-e9e5a901a,sha256:e9e5a901a8c8e4ae810f142279b8f8fb5f419516c3393fb93bf63ea3dbfbf3a3,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/similar-incidents-service,v4.1.0-20230621.0047-eaf7fd40f,sha256:eaf7fd40fdbf172caa7d0ba3dcbd1b4f9710565cdab39831f774aabcc84810be,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/similar-incidents-training,v4.1.0-20230621.0047-4321295cf,sha256:4321295cfa559b35646bee2eef1916675c568fd996f2163b04159e27a7999d75,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-watson-ai-manager-operator-bundle,v4.1.0-20230621.0047-bf0b32a93,sha256:bf0b32a936cb6dfcdac2fca0c6060f8c6f0e7d3b1ee284f107649d27592067e6,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-watson-ai-manager-operator-catalog,v4.1.0-20230621.0047-c21c1e445,sha256:c21c1e445b93fce62f82a71cfc3675877477cf0acafe4e17a4a0106bc64c6b89,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-watson-ai-manager-operator,v4.1.0-20230621.0047-3fe353715,sha256:3fe353715c1129622649ba2757fb9e86db31e0a46e818455cd00992a4d0b9b54,IMAGE,linux,amd64,"",0,CASE,"",""
