registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/ai-models-ui,v4.1.0-20230621.0047-d3d803f3f,sha256:d3d803f3f7a3092184b48806301b802cc5d910e739764a3b0ae011a9110f52cf,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-application-details-ui,v4.1.0-20230621.0047-feb8ff3e6,sha256:feb8ff3e6598a8430337bed4b90b9427209551e106eeac85363e1ac9f14db234,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-base-ui,v4.1.0-20230621.0047-fd6b2303c,sha256:fd6b2303ce61c3e8c5681cfd4b324a9900e6a0a4f102eb11114081fdde1b0711,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connector-ui,v4.1.0-20230621.0047-1a2516c1b,sha256:1a2516c1b9a79dfa821b93f9a0a6efe3097e3043b7bfd0bd2fe913dc5a68c46c,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/common-datarouting,v4.1.0-20230621.0047-0d51ad933,sha256:0d51ad93349bcd6b5369328ab0c6fcafdc7fd835447268c79d08d7565cca1232,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-dashboard-ui,v4.1.0-20230621.0047-ac1a94248,sha256:ac1a9424857788450c91ade691bf56ed0c9c2ba7937c4e0d49c23b441356bcd5,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/aiops-dashboard-api,v4.1.0-20230621.0047-b57e1364f,sha256:b57e1364f9a7e29b36dcbf1cdf0bec9423acad520b68c244e7a684262dee866c,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ir-ui-api,v4.1.0-20230621.0047-106888f63,sha256:106888f63bb10be83fa6e4749a8260c26226d164370a706b19e567a0b41abd4d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ir-ui-content,v4.1.0-20230621.0047-d28be07ce,sha256:d28be07ce21aeed437b8cd11feb197b2dc0536642d795fd6e84e8ef5181c71ad,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ir-ui-server,v4.1.0-20230621.0047-09af6d453,sha256:09af6d45332dd9bc2e71759dcea261d2353fa073c5b025bd4c09bd921311db2e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-watson-aiops-ui-operator-bundle,v4.1.0-20230621.0047-4370489c6,sha256:4370489c61d0b91dc0e5a17c371faad6a0f5e34603520063f1765ddd0986147f,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-watson-aiops-ui-catalog,v4.1.0-20230621.0047-ad69d8362,sha256:ad69d8362c2b8f0b0a5b6c78bbff08a0f48f50c5d05d766efcfce0d07a9e1692,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cp4waiops-watson-aiops-ui-operator,v4.1.0-20230621.0047-3a2163962,sha256:3a2163962a3024b723bc3d0f44cd13448eb84836945e17b68d347213d649c3ff,LIST,"","","",0,CASE,"",""
