registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-zen-operator,1.8.6,sha256:ebe71db442b57300e6d8d49114c0415f0a93368a2c34e5096458e8268bae0484,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-watchdog,4.8.6-6,sha256:65420c9664c9b21ff6d6c494494f76e4a4e16f3de1dfd55f334bdbdd9fa4c763,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.8.6-6,sha256:b41ebd5364b6dc29d41e12faf8cfc255b01ffe86115f07d1fdd9b04433745ade,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.8.6-6,sha256:63c81cb1597b5c27351542ceab9d758a5205becc807991404cb46906d9e77c91,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-iam-config,4.8.6-6,sha256:01720d71a4eaf9937077f11f95f11689cedf062f1854bdbd7959f7274ee96423,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-data-sorcerer,4.8.6-6,sha256:1ff6abab4a23140d303748750a6b3b7e1d946bb3308bbd57d5180ca5c340e613,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.8.6-6,sha256:1d2a250668506a57fbdf01054f645ca6ff62733e907ed26cf5912fe7bea498ec,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.8.6-6,sha256:0098cbac90a96820732452413e68bee003e32f13c30b6e2320e7224750eebf92,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-audit,4.8.6-6,sha256:e4bb763d641af4e7f10c9a00e0bbe1f806f65047b41777dc095ef50124b52f94,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.8.6-6,sha256:59824899b74ee4e4bb5becb8083e1a602a172dc1c6c302dbc0081f63b54aaee1,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.8.6-6,sha256:20245f0d126665065ba1802a8ab52d6095e7c3a111c8e2c04bc7b564b72c6be8,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.8.6-6,sha256:cd5ed775b2bb3ee29c4a7a7bd90a6e3ab0973ccca477d72def9450d5ca90e51f,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.8.6-6,sha256:ae409c6f3198e72442f54696ca39029545ad6321989d5fa45bd8b18bc1e641b9,LIST,"","","",0,CASE,"",""
